city,d,kappa,generator,K,D,Kprime,L1,h1,Bmax,Btheory
Amsterdam,4729918422,1,ipsp_rho4,15,1,15,403.0580177137446,34,1259.8495762342236,235970339835.44513
Amsterdam,4729918422,1,ipsp_rho125,3,1,3,403.0580177137446,34,600.8331406373408,736.028152677726
Amsterdam,4729918422,1,ipsp_rho125,5,1,5,403.0580177137446,34,625.5921932191144,1316.059613558947
Amsterdam,4729918422,1,ipsp_rho125,15,1,15,403.0580177137446,34,886.1237513843707,19987.46524154159
Amsterdam,4729918422,1,yen,3,1,3,403.0580177137446,34,408.75489108106757,408.75489108106757
Amsterdam,4729918422,1,eps10,3,1,3,403.0580177137446,34,408.75489108106757,443.3638194851191
Amsterdam,4729918422,1,eps25,3,1,3,403.0580177137446,34,408.75489108106757,503.8225221421808
Amsterdam,4729918422,1,yen,5,1,5,403.0580177137446,34,411.0426410496507,411.0426410496507
Amsterdam,4729918422,1,eps10,5,1,5,403.0580177137446,34,411.0426410496507,443.3638194851191
Amsterdam,4729918422,1,eps25,5,1,5,403.0580177137446,34,411.0426410496507,503.8225221421808
Amsterdam,4729918422,1,yen,15,1,15,403.0580177137446,34,421.2351712914538,421.2351712914538
Amsterdam,4729918422,1,eps10,15,1,15,403.0580177137446,34,421.2351712914538,443.3638194851191
Amsterdam,4729918422,1,eps25,15,1,15,403.0580177137446,34,421.2351712914538,503.8225221421808
Amsterdam,1224210135,2,ipsp_rho4,3,2,3,364.2866779102671,49,684.4325148984427,7396.586846564273
Amsterdam,1224210135,2,ipsp_rho4,5,2,5,364.2866779102671,49,749.824204979974,143433.3895450284
Amsterdam,1224210135,2,ipsp_rho4,15,2,15,364.2866779102671,49,1124.3847709475428,281934183315.5677
Amsterdam,1224210135,2,ipsp_rho125,3,1,3,364.2866779102671,49,481.1521782983669,722.3229342347923
Amsterdam,1224210135,2,ipsp_rho125,5,2,5,364.2866779102671,49,661.2522936093936,1367.8873972418633
Amsterdam,1224210135,2,ipsp_rho125,15,2,15,364.2866779102671,49,802.5129319539882,23880.75422255195
Amsterdam,46276656,2,ipsp_rho4,3,1,3,122.20032116023977,16,170.09877463316064,2467.205138563836
Amsterdam,46276656,2,ipsp_rho4,5,2,5,122.20032116023977,16,363.7785469375389,47667.28221702138
Amsterdam,46276656,2,ipsp_rho4,15,2,15,122.20032116023977,16,844.7985033982598,92932441077.9954
Amsterdam,46276656,2,ipsp_rho125,3,1,3,122.20032116023977,16,170.09877463316064,240.9380018128746
Amsterdam,46276656,2,ipsp_rho125,5,1,5,122.20032116023977,16,170.09877463316064,454.5906278326166
Amsterdam,46276656,2,ipsp_rho125,15,2,15,122.20032116023977,16,381.54687562693545,7871.683946183106
Amsterdam,46315759,2,ipsp_rho4,3,2,3,84.84312182007994,12,187.2438940893931,1741.489949121279
