city,orientation,d,w,kappa
Amsterdam,AD,1042870353,0.6071428571428571,1
Amsterdam,AD,46363900,0.5192307692307693,2
Amsterdam,AD,46389674,0.6923076923076923,2
Amsterdam,AD,46405080,0.4862637362637362,2
Amsterdam,AD,46428787,0.510989010989011,2
Amsterdam,AD,46448859,0.2802197802197802,3
Amsterdam,AD,46467741,0.0247252747252747,2
Amsterdam,AD,7904736930,0.0054945054945054,1
Amsterdam,AD,12713011080,0.0109890109890109,1
Amsterdam,AD,46527401,0.0109890109890109,3
Amsterdam,AD,46542758,0.0329670329670329,4
Amsterdam,AD,46553708,0.0082417582417582,2
Amsterdam,AD,6249848704,0.0027472527472527,1
Amsterdam,AD,2016695185,0.0054945054945054,1
Amsterdam,AD,885659107,0.0109890109890109,1
Amsterdam,AD,46248097,0.0302197802197802,2
Amsterdam,AD,46268858,0.2005494505494505,3
Amsterdam,AD,12987508333,0.1043956043956044,1
Amsterdam,AD,5805453834,0.7252747252747253,1
Amsterdam,AD,46325757,0.3626373626373626,3
Amsterdam,AD,3416675263,0.2335164835164835,2
Amsterdam,AD,8036446607,0.8296703296703297,1
Amsterdam,AD,46383015,0.8763736263736264,0
Amsterdam,AD,3175895405,1.0,1
Amsterdam,AD,46427763,0.3571428571428571,2
Amsterdam,AD,2102754850,0.0192307692307692,1
Amsterdam,AD,7800918439,0.0137362637362637,2
Amsterdam,AD,1499334820,0.0192307692307692,1
Amsterdam,AD,46513195,0.0439560439560439,3
Amsterdam,AD,46544791,0.0054945054945054,1
Amsterdam,AD,46555017,0.0329670329670329,3
Amsterdam,AD,10303268574,0.0082417582417582,1
Amsterdam,AD,4541539713,0.0054945054945054,1
Amsterdam,AD,12212407120,0.0027472527472527,1
Amsterdam,AD,11559496557,0.0082417582417582,3
Amsterdam,AD,46268594,0.0851648351648351,4
Amsterdam,AD,46285788,0.0192307692307692,2
Amsterdam,AD,46306163,0.1813186813186813,2
Amsterdam,AD,295693437,0.2692307692307692,4
Amsterdam,AD,46345823,0.3708791208791209,3
Amsterdam,AD,3188225066,0.2802197802197802,2
Amsterdam,AD,442122363,0.521978021978022,1
Amsterdam,AD,46404672,0.8626373626373627,2
Amsterdam,AD,814763666,0.1923076923076923,2
Amsterdam,AD,6796780752,0.0357142857142857,1
Amsterdam,AD,8542668458,0.0054945054945054,1
Amsterdam,AD,6066265670,0.0302197802197802,2
Amsterdam,AD,46499694,0.0164835164835164,1
Amsterdam,AD,6867794194,0.0027472527472527,1
Amsterdam,AD,810541337,0.0054945054945054,2
Amsterdam,AD,4847860136,0.0027472527472527,1
Amsterdam,AD,456854630,0.0247252747252747,2
Amsterdam,AD,46265190,0.184065934065934,4
Amsterdam,AD,460441709,0.1291208791208791,1
Amsterdam,AD,12922375582,0.0631868131868131,0
Amsterdam,AD,46326107,0.1016483516483516,1
Amsterdam,AD,46345386,0.0769230769230769,3
Amsterdam,AD,46361614,0.0302197802197802,1
Amsterdam,AD,46385113,0.0439560439560439,2
Amsterdam,AD,292241354,0.0549450549450549,1
Amsterdam,AD,46431917,0.0054945054945054,1
Amsterdam,AD,794301414,0.0384615384615384,1
Amsterdam,AD,46467229,0.0714285714285714,1
Amsterdam,AD,11962862993,0.0302197802197802,2
Amsterdam,AD,12549240144,0.0329670329670329,1
Amsterdam,AD,7552907634,0.0027472527472527,2
Amsterdam,AD,3167200102,0.0054945054945054,2
Amsterdam,AD,2767260184,0.0054945054945054,1
Amsterdam,AD,46563813,0.0027472527472527,2
Amsterdam,AD,46206669,0.0054945054945054,1
Amsterdam,AD,2053253428,0.0027472527472527,1
Amsterdam,AD,636093337,0.0109890109890109,2
Amsterdam,AD,8441540293,0.0274725274725274,1
Amsterdam,AD,46304170,0.0357142857142857,1
Amsterdam,AD,46325205,0.228021978021978,2
Amsterdam,AD,365875639,0.0357142857142857,1
Amsterdam,AD,5896507775,0.0796703296703296,1
Amsterdam,AD,46384590,0.0521978021978022,2
Amsterdam,AD,46405687,0.0357142857142857,1
Amsterdam,AD,46432836,0.0109890109890109,1
Amsterdam,AD,46446857,0.0412087912087912,2
Amsterdam,AD,46468710,0.0549450549450549,2
Amsterdam,AD,46485066,0.0467032967032967,2
Amsterdam,AD,46498380,0.0247252747252747,3
Amsterdam,AD,46526413,0.0686813186813186,1
Amsterdam,AD,46210174,0.0027472527472527,2
Amsterdam,AD,2882580890,0.0219780219780219,2
Amsterdam,AD,46244938,0.0219780219780219,2
Amsterdam,AD,46266650,0.0137362637362637,1
Amsterdam,AD,12072406522,0.0439560439560439,1
Amsterdam,AD,46304102,0.0549450549450549,3
Amsterdam,AD,46325460,0.0906593406593406,3
Amsterdam,AD,4743959148,0.0769230769230769,1
Amsterdam,AD,11224390095,0.0494505494505494,1
Amsterdam,AD,2262683375,0.0357142857142857,1
Amsterdam,AD,46404755,0.0082417582417582,2
Amsterdam,AD,46424348,0.0054945054945054,2
Amsterdam,AD,46445293,0.0467032967032967,3
Amsterdam,AD,46466887,0.0686813186813186,3
Amsterdam,AD,46485162,0.0247252747252747,1
Amsterdam,AD,262890788,0.0027472527472527,1
Amsterdam,AD,11293422861,0.0164835164835164,1
Amsterdam,AD,46264173,0.0109890109890109,1
Amsterdam,AD,2801224787,0.0082417582417582,2
Amsterdam,AD,46303183,0.1538461538461538,3
Amsterdam,AD,2822146021,0.2967032967032967,0
Amsterdam,AD,2348249485,0.3736263736263736,50
Amsterdam,AD,46360124,0.1098901098901098,1
Amsterdam,AD,1715273753,0.0686813186813186,1
Amsterdam,AD,46404184,0.0082417582417582,2
Amsterdam,AD,46420912,0.0027472527472527,2
Amsterdam,AD,6904057007,0.0302197802197802,1
Amsterdam,AD,46460895,0.0109890109890109,3
Amsterdam,AD,6537188447,0.0082417582417582,1
Amsterdam,AD,10555373720,0.0192307692307692,1
Amsterdam,AD,46535755,0.0027472527472527,1
Amsterdam,AD,46183572,0.0219780219780219,50
Amsterdam,AD,46183572,0.0082417582417582,50
Amsterdam,AD,46183572,0.0054945054945054,50
Amsterdam,AD,12655469626,0.0027472527472527,1
Amsterdam,AD,12022263753,0.0027472527472527,1
Amsterdam,AD,46283936,0.0879120879120879,2
Amsterdam,AD,46302228,0.0192307692307692,3
Amsterdam,AD,46322722,0.0247252747252747,2
Amsterdam,AD,2013949658,0.3269230769230769,3
Amsterdam,AD,46361012,0.0824175824175824,2
Amsterdam,AD,46381772,0.0302197802197802,1
Amsterdam,AD,6949019795,0.1071428571428571,2
Amsterdam,AD,46415865,0.0027472527472527,2
Amsterdam,AD,10584629971,0.3928571428571428,1
Amsterdam,AD,46512176,0.0027472527472527,1
Amsterdam,AD,46183572,0.0219780219780219,50
Amsterdam,AD,46183572,0.0027472527472527,50
Amsterdam,AD,46183572,0.0109890109890109,50
Amsterdam,AD,46183572,0.0906593406593406,50
Amsterdam,AD,1525015190,0.0027472527472527,0
Amsterdam,AD,1525015190,0.0164835164835164,0
Amsterdam,AD,46245091,0.0219780219780219,2
Amsterdam,AD,46262650,0.0027472527472527,2
