node,w,kappa,cut_u,cut_v
8459905219,5.0,1,8459905219,8459905218
42977848,4.0,2,-1,-1
7404702900,3.0,1,7404702900,7404702890
42974728,6.0,1,42974728,42972716
42967874,3.0,1,42967874,42967876
6946150269,1.0,1,6946150269,6946150274
42958198,8.0,3,-1,-1
43009326,1.0,3,-1,-1
42983997,1.0,3,-1,-1
42948152,2.0,4,-1,-1
5490600103,54.0,2,-1,-1
42972638,23.0,1,42972638,42972633
7153430613,1.0,1,7153430613,7153430612
43002223,2.0,2,-1,-1
6655174654,3.0,1,6655174654,2896309647
4150439684,11.0,3,-1,-1
5490289610,3.0,16777217,-1,-1
3536417996,1.0,1,3536417996,3536417582
43001767,2.0,3,-1,-1
5540285237,13.0,1,5540285237,5540285244
42985576,9.0,1,5490166082,42951151
43009210,22.0,3,-1,-1
11399155200,4.0,1,11399155200,11399155201
42974832,22.0,3,-1,-1
5490153342,14.0,1,5490153342,447759471
5490149233,18.0,1,5490149233,5490149229
11910331879,22.0,1,11910331879,5490149236
447764091,14.0,3,-1,-1
5490138250,43.0,2,-1,-1
42986108,12.0,2,-1,-1
42998419,6.0,4,-1,-1
447589504,1.0,1,447589504,42946352
2896235298,1.0,1,2896235298,2896235271
42973560,29.0,3,-1,-1
42998642,9.0,1,42998642,42982568
42986490,5.0,4,-1,-1
42998669,5.0,2,-1,-1
7669215933,6.0,2,-1,-1
8487742251,2.0,1,8487742251,8487742245
43013316,16.0,2,-1,-1
42963751,1.0,3,-1,-1
42984009,1.0,4,-1,-1
42998994,2.0,3,-1,-1
43004150,1.0,1,43004150,42958716
42985704,1.0,3,-1,-1
10724020897,37.0,3,-1,-1
42956956,1.0,4,-1,-1
43020695,1.0,3,-1,-1
42982703,1.0,4,-1,-1
42964768,1.0,4,-1,-1
43005163,4.0,3,-1,-1
13115003084,1.0,1,13115003084,7831606269
7443092688,1.0,1,7443092688,8317352477
43001770,1.0,2,-1,-1
42957183,6.0,2,-1,-1
42963954,1.0,3,-1,-1
42962325,3.0,3,-1,-1
42949002,1.0,3,-1,-1
42960200,2.0,2,-1,-1
42958830,1.0,4,-1,-1
43000352,1.0,2,-1,-1
10536259280,2.0,16777217,-1,-1
42945100,4.0,1,42945100,43002949
42978160,1.0,16777219,-1,-1
42985915,36.0,3,-1,-1
6883383308,14.0,3,-1,-1
42993269,1.0,3,-1,-1
2896235274,1.0,2,-1,-1
5490148940,37.0,2,-1,-1
42982298,2.0,3,-1,-1
43004256,1.0,2,-1,-1
43004238,12.0,2,-1,-1
43004236,2.0,3,-1,-1
7669215936,2.0,1,7669215936,7669215933
43022267,2.0,1,43022267,42963746
42963740,1.0,1,42963740,42963746
42975417,6.0,2,-1,-1
11672957089,5.0,1,11672957089,11672957090
42975832,1.0,2,-1,-1
42948192,1.0,3,-1,-1
42974519,1.0,3,-1,-1
12840744015,12.0,1,12840744015,12840744017
11158092121,13.0,1,11158092121,11158092122
42982671,2.0,4,-1,-1
11158092090,1.0,1,11158092090,11158092091
42963818,1.0,4,-1,-1
42978948,1.0,3,-1,-1
42961757,1.0,1,42961757,42961751
8317352477,1.0,1,8317352500,8317352506
8317352342,1.0,1,8317352342,8317352347
10689207096,4.0,2,-1,-1
42984883,1.0,1,42984883,42984879
42960195,1.0,4,-1,-1
5490184298,1.0,3,-1,-1
43022124,1.0,1,43022124,42968732
410647605,5.0,2,-1,-1
410648372,4.0,3,-1,-1
5490178817,3.0,2,-1,-1
42953929,1.0,3,-1,-1
60649451,1.0,2,-1,-1
42944333,1.0,2,-1,-1
10697952467,2.0,2,-1,-1
3869725570,3.0,2,-1,-1
3869751112,10.0,1,3869751112,3869751105
3321197297,1.0,1,3321197297,3321197292
42987069,3.0,16777220,-1,-1
42990333,2.0,3,-1,-1
9989982182,2.0,1,9989982182,9989982180
6718965711,1.0,1,6718965711,6718965708
42996998,2.0,1,42996998,42996999
43025198,2.0,1,43025198,43008717
42961784,15.0,2,-1,-1
42974064,45.0,3,-1,-1
42956029,5.0,2,-1,-1
10073403332,4.0,1,10073403332,42966591
42952022,50.0,3,-1,-1
42963760,9.0,3,-1,-1
42973398,1.0,3,-1,-1
42957463,1.0,4,-1,-1
42947631,1.0,1,42947631,42947629
6272105571,1.0,2,-1,-1
6272106217,1.0,3,-1,-1
533908740,1.0,1,533908740,42973345
8317352520,1.0,1,8317352763,43004726
5490189968,1.0,2,-1,-1
43001809,2.0,2,-1,-1
42982020,1.0,2,-1,-1
2897624275,8.0,3,-1,-1
42949156,9.0,2,-1,-1
10925769532,4.0,1,10925769532,10925769531
9897655392,5.0,1,9897655392,9897655377
8459943356,9.0,1,8459943356,8459943355
42953940,5.0,2,-1,-1
42953746,5.0,3,-1,-1
42958485,1.0,3,-1,-1
42983176,2.0,4,-1,-1
8459826047,4.0,1,8459826042,6291916388
11715016008,48.0,2,-1,-1
42994152,2.0,3,-1,-1
13129749468,3.0,2,-1,-1
43002319,2.0,3,-1,-1
43010961,10.0,2,-1,-1
43006508,103.0,1,43006508,410615038
6945863883,1.0,1,6945863883,42961784
42965191,1.0,1,42965191,42966006
1708631192,4.0,1,1708631192,42966568
42965967,23.0,3,-1,-1
42952040,1.0,4,-1,-1
43017594,2.0,3,-1,-1
42960052,26.0,2,-1,-1
43011489,4.0,3,-1,-1
43000132,1.0,2,-1,-1
43011504,1.0,1,43008818,43006130
6272106206,1.0,3,-1,-1
5331635974,3.0,1,5331635974,5331635960
2533588288,2.0,2,-1,-1
8317352509,2.0,1,8317352509,8317352512
42960179,1.0,3,-1,-1
2523812063,1.0,2,-1,-1
5490204104,3.0,2,-1,-1
2523812041,3.0,1,2523812041,2523812039
11466101318,4.0,2,-1,-1
8858988986,10.0,1,8858988986,8858988988
42983887,2.0,3,-1,-1
42961892,1.0,2,-1,-1
42966604,11.0,4,-1,-1
42953152,1.0,16777220,-1,-1
42953146,2.0,4,-1,-1
42990939,1.0,2,-1,-1
5490171941,26.0,2,-1,-1
8248323392,13.0,1,8248323392,8248323390
447861031,3.0,1,447861031,42970943
42975017,2.0,1,42975017,418490407
42966757,7.0,3,-1,-1
42974994,1.0,3,-1,-1
410615349,3.0,1,410615349,410615336
43002345,1.0,1,43002345,43002337
5490675662,5.0,1,5490675662,5490675663
10748997828,13.0,1,10748997828,2663757148
42961549,1.0,3,-1,-1
43003882,5.0,4,-1,-1
43009558,16.0,1,43009558,43009561
6272095615,1.0,1,6912997188,5490480513
43017801,1.0,2,-1,-1
6912997708,2.0,1,6912997708,6912997700
42949550,1.0,4,-1,-1
43008551,3.0,1,43008551,42996089
5396407740,1.0,1,5396407740,42950689
8317352591,1.0,1,8317352763,43004726
5627720744,8.0,1,5627720744,5627720741
2523814612,3.0,0,-1,-1
6210460745,1.0,2,-1,-1
2550938824,3.0,3,-1,-1
43001981,1.0,3,-1,-1
42982146,1.0,3,-1,-1
42946631,1.0,2,-1,-1
6935879828,13.0,3,-1,-1
12468470925,2.0,1,12468470925,42954748
8246845002,1.0,1,8246845002,42999312
13161585147,1.0,1,13161585147,42995098
5490180582,27.0,2,-1,-1
42951740,12.0,2,-1,-1
42955495,29.0,3,-1,-1
42950367,1.0,2,-1,-1
42968001,4.0,3,-1,-1
42967996,1.0,1,42967996,42967997
429002718,2.0,1,429002718,410615336
12200077774,4.0,1,12200077774,8434769421
2663757213,1.0,2,-1,-1
42968632,1.0,3,-1,-1
42966191,3.0,4,-1,-1
5490480501,9.0,2,-1,-1
6912997506,14.0,1,6912997390,42971267
43010014,1.0,3,-1,-1
42990182,1.0,2,-1,-1
42989566,1.0,3,-1,-1
42984062,1.0,3,-1,-1
8336374048,1.0,1,8336374048,42974377
42958975,2.0,2,-1,-1
10571899595,1.0,2,-1,-1
11865114805,11.0,1,11865114805,11865114810
2523814590,2.0,3,-1,-1
42977771,1.0,3,-1,-1
42959885,2.0,3,-1,-1
42961653,1.0,3,-1,-1
42953983,1.0,2,-1,-1
42953968,10.0,4,-1,-1
2571915602,2.0,2,-1,-1
42993924,1.0,2,-1,-1
42959246,1.0,3,-1,-1
42972652,73.0,3,-1,-1
42966821,2.0,2,-1,-1
42981942,15.0,3,-1,-1
42964426,52.0,16777218,-1,-1
42962166,37.0,4,-1,-1
11690152088,2.0,1,11690152088,11690152089
410615038,3.0,1,410615038,3598749721
4409064008,17.0,1,4409064008,3598749721
43006504,2.0,1,43006504,4409064072
2663757113,1.0,2,-1,-1
42988638,1.0,2,-1,-1
42974792,2.0,4,-1,-1
42949314,2.0,3,-1,-1
448200639,8.0,1,448200639,42962492
42981501,1.0,3,-1,-1
42948427,1.0,3,-1,-1
42958439,1.0,3,-1,-1
43007534,1.0,1,43007534,42958880
42987368,1.0,2,-1,-1
11865115012,1.0,1,11865115012,8320213631
8886902916,12.0,2,-1,-1
6842849556,15.0,1,6842849556,11867062655
43016573,2.0,2,-1,-1
43021650,2.0,4,-1,-1
43018099,15.0,3,-1,-1
42944657,2.0,2,-1,-1
12645998523,47.0,1,12645998523,42989875
42975883,4.0,2,-1,-1
42977347,1.0,3,-1,-1
42994457,3.0,3,-1,-1
2692181864,42.0,3,-1,-1
42977315,3.0,3,-1,-1
42977295,14.0,3,-1,-1
42984355,4.0,2,-1,-1
10584229889,23.0,1,10584229889,10584229896
42945207,4.0,1,42945207,42997533
4409064012,27.0,0,-1,-1
4409064064,5.0,1,4409064064,4409064072
5490684904,2.0,1,5490684904,5490684905
10315795824,1.0,1,10315795824,10315795827
448202637,2.0,1,448202637,43018419
42986560,1.0,4,-1,-1
42995721,16.0,4,-1,-1
5490096258,8.0,1,5490096258,5490096257
42983800,1.0,4,-1,-1
42985892,5.0,3,-1,-1
42981305,8.0,2,-1,-1
42983463,1.0,2,-1,-1
8433681331,2.0,1,8433681331,8433681333
5490198069,2.0,16777217,-1,-1
5490198070,2.0,3,-1,-1
2523818060,3.0,1,2523818060,2523818050
12956791775,3.0,1,12956791775,12956791780
42950984,1.0,3,-1,-1
42950969,1.0,4,-1,-1
42989802,1.0,2,-1,-1
43008487,32.0,2,-1,-1
8886872729,6.0,1,8886872729,8886872728
43009386,1.0,3,-1,-1
42955061,1.0,2,-1,-1
42992678,7.0,3,-1,-1
42981188,12.0,2,-1,-1
8887063711,7.0,1,8887063711,8887063709
42949410,25.0,3,-1,-1
7079916323,8.0,1,7079916323,7079916319
12990558302,1.0,1,12990558302,7079916323
4409064080,2.0,1,4409064080,10315795827
5490684902,1.0,1,5490684902,5490684908
448202638,1.0,1,448202638,42952813
42952809,1.0,2,-1,-1
43004978,1.0,3,-1,-1
43011677,1.0,3,-1,-1
42991410,1.0,3,-1,-1
42976160,3.0,1,42976160,7396675888
8886932289,8.0,3,-1,-1
42977696,2.0,3,-1,-1
42964563,2.0,1,42964563,43017581
5627720794,4.0,1,5627720794,5627720765
2396863466,1.0,1,2396863466,2396863462
2523818090,1.0,2,-1,-1
5627743668,2.0,1,5627743668,8459889888
42980389,2.0,3,-1,-1
42980357,20.0,4,-1,-1
