city,d,cut_u,cut_v,cut_first,cut_hops,entry_diam_m,cut_substrate
New York City,42427070,3785702998,8152930806,0,11,232.7,1
New York City,42447242,42447242,42427070,1,0,549.1,1
New York City,42476111,551624495,42476115,1,0,56.0,1
New York City,42480716,42480716,42480721,1,0,48.9,1
New York City,42495072,42495072,42495076,1,0,68.3,1
New York City,42496352,42496352,42523544,1,0,44.8,1
New York City,42500215,4729824989,4729763662,0,7,67.0,1
New York City,42509615,42506672,42506668,0,1,59.2,1
New York City,42518716,42518716,3658729749,1,0,20.8,1
New York City,42519361,42519361,42519358,1,0,29.5,1
New York City,42730353,42730353,5490801754,1,0,29.8,1
New York City,42735262,854833092,2327413908,0,4,123.6,1
New York City,42743386,42767978,42751920,1,0,58.0,1
New York City,42766568,42727690,42740159,0,14,64.5,1
New York City,42782175,42761626,42774298,1,0,101.2,1
New York City,42786427,4874331315,42797342,0,9,65.3,1
New York City,42950794,42950788,42950784,1,0,59.9,1
New York City,42953428,42950940,42993849,0,2,126.6,1
New York City,42968666,42968666,42974871,1,0,169.2,1
New York City,42972375,12177266059,7404226868,1,0,65.3,1
New York City,43026210,43026203,8234561782,1,0,59.1,1
New York City,102993145,102993145,102992861,1,0,110.7,1
New York City,247118712,247086017,247080924,0,2,248.4,1
New York City,279200082,2868813802,5559232824,0,3,52.9,1
New York City,422122659,8887065825,42961257,0,2,83.7,1
New York City,592484776,42424864,42423456,0,2,101.8,1
New York City,607911351,3274291207,279151954,1,0,69.8,1
New York City,701654537,11014606928,4145735059,0,2,68.3,1
New York City,740202296,740202317,740202319,0,1,171.9,1
New York City,763220048,763220066,763220063,0,5,101.1,1
New York City,1424163333,1424163333,42469496,1,0,54.5,1
New York City,1570051323,1570051323,9622682885,1,0,65.8,1
New York City,1941708239,4874331315,42797342,0,6,47.5,1
New York City,2522345470,42492309,42492312,1,0,22.1,1
New York City,2565077243,5487757071,5487757072,1,0,23.9,1
New York City,2570541610,42864070,42809868,0,1,98.9,1
New York City,2716092088,11052524076,2716026127,1,0,54.2,1
New York City,2845116283,10866743526,42757892,1,0,98.0,1
New York City,2876631882,2876631927,42889978,0,4,25.1,1
New York City,2889362122,5487882017,42724486,0,5,46.4,1
New York City,3295750091,3295750099,3298185345,0,1,92.6,1
New York City,3310141783,3310141790,3310141792,1,0,33.5,1
New York City,3509134773,410544431,410544474,1,0,85.8,1
