city,k_label,d,w,kappa
Amsterdam,2,748723148,0.054945054945054944,2
Amsterdam,2,46292054,0.0027472527472527475,2
Amsterdam,2,46310733,0.0521978021978022,3
Amsterdam,2,9476330484,0.005494505494505495,2
Amsterdam,2,2821156677,0.0027472527472527475,2
Amsterdam,2,46415227,0.008241758241758242,3
Amsterdam,2,10128214173,0.0027472527472527475,1
Amsterdam,2,7887074221,0.005494505494505495,1
Amsterdam,2,46233564,0.005494505494505495,2
Amsterdam,2,46273301,0.0027472527472527475,4
Amsterdam,2,4742151382,0.005494505494505495,2
Amsterdam,2,46332375,0.0027472527472527475,1
Amsterdam,2,4799100471,0.0027472527472527475,1
Amsterdam,2,7476552784,0.027472527472527472,5
Amsterdam,2,46433459,0.1620879120879121,3
Amsterdam,2,6459278056,0.0027472527472527475,2
Amsterdam,2,420241704,0.016483516483516484,2
Amsterdam,2,5274990069,0.0027472527472527475,1
Amsterdam,2,1596178397,0.005494505494505495,1
Amsterdam,2,46311892,0.1043956043956044,3
Amsterdam,2,46331939,0.03021978021978022,3
Amsterdam,2,2012191835,0.008241758241758242,3
Amsterdam,2,46366150,0.0027472527472527475,2
Amsterdam,2,1587421936,0.008241758241758242,2
Amsterdam,2,46434295,0.07417582417582418,3
Amsterdam,2,46471597,0.005494505494505495,2
Amsterdam,2,46489067,0.005494505494505495,1
Amsterdam,2,8116544761,0.0027472527472527475,2
Amsterdam,2,1575311685,0.005494505494505495,2
Amsterdam,2,4053664514,0.0027472527472527475,3
Amsterdam,2,46311221,0.013736263736263736,4
Amsterdam,2,330033173,0.01098901098901099,2
Amsterdam,2,2012191567,0.04120879120879121,4
Amsterdam,2,46366674,0.02197802197802198,2
Amsterdam,2,8340035244,0.016483516483516484,1
Amsterdam,2,46410025,0.008241758241758242,4
Amsterdam,2,46432455,0.09615384615384616,3
Amsterdam,2,6459263732,0.005494505494505495,4
Amsterdam,2,2028093778,0.038461538461538464,2
Amsterdam,2,1032858490,0.0027472527472527475,2
Amsterdam,2,8177207459,0.005494505494505495,2
Amsterdam,2,8163946870,0.0027472527472527475,1
Amsterdam,2,10693951339,0.02197802197802198,1
Amsterdam,2,303203391,0.013736263736263736,2
Amsterdam,2,46291715,0.03571428571428571,3
Amsterdam,2,46314364,0.019230769230769232,4
Amsterdam,2,46329410,0.0027472527472527475,3
Amsterdam,2,46348398,0.016483516483516484,2
Amsterdam,2,46367399,0.005494505494505495,3
Amsterdam,2,46390320,0.02197802197802198,3
Amsterdam,2,46410375,0.06043956043956044,2
Amsterdam,2,11431874081,0.0027472527472527475,1
Amsterdam,2,46473657,0.016483516483516484,1
Amsterdam,2,3037038658,0.0027472527472527475,2
Amsterdam,2,8307365174,0.013736263736263736,3
Amsterdam,2,46514542,0.0027472527472527475,2
Amsterdam,2,922662498,0.0027472527472527475,2
Amsterdam,2,10585373288,0.0027472527472527475,1
Amsterdam,2,46249143,0.008241758241758242,1
Amsterdam,2,46268854,0.005494505494505495,2
Amsterdam,2,46289604,0.12362637362637363,2
Amsterdam,2,46310386,0.013736263736263736,3
Amsterdam,2,2772719489,0.008241758241758242,1
Amsterdam,2,46371106,0.024725274725274724,3
Amsterdam,2,3300515578,0.07142857142857142,3
Amsterdam,2,46411017,0.16483516483516483,1
Amsterdam,2,46435511,0.04395604395604396,3
Amsterdam,2,1615543977,0.016483516483516484,4
Amsterdam,2,46468706,0.01098901098901099,3
Amsterdam,2,1718573622,0.016483516483516484,2
Amsterdam,2,8439295219,0.0027472527472527475,2
Amsterdam,2,46514806,0.0027472527472527475,3
Amsterdam,2,46173879,0.008241758241758242,2
Amsterdam,2,46188193,0.0027472527472527475,3
Amsterdam,2,46209547,0.01098901098901099,2
Amsterdam,2,46226051,0.005494505494505495,2
Amsterdam,2,46249918,0.013736263736263736,1
Amsterdam,2,280989731,0.06868131868131869,3
Amsterdam,2,46288279,0.12637362637362637,1
Amsterdam,2,46309533,0.08516483516483517,5
Amsterdam,2,46330371,0.10989010989010989,2
Amsterdam,2,46348429,0.08516483516483517,4
Amsterdam,2,46369747,0.027472527472527472,3
Amsterdam,2,46389668,0.17582417582417584,1
Amsterdam,2,940042043,0.06043956043956044,1
Amsterdam,2,46429656,0.13186813186813187,3
Amsterdam,2,1284046432,0.013736263736263736,2
Amsterdam,2,7886095726,0.005494505494505495,1
Amsterdam,2,7997216056,0.005494505494505495,2
Amsterdam,2,46187415,0.0027472527472527475,4
