city,orientation,k,d,w,kappa,outdeg,cut_first,cut_hops
Amsterdam,AD,1,7886095726,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,7997216056,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,46187415,0.0027472527472527475,3,3,-1,-1
Amsterdam,AD,1,46232048,0.013736263736263736,1,2,-1,-1
Amsterdam,AD,1,6239303038,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,46269468,0.0521978021978022,2,3,-1,-1
Amsterdam,AD,1,46289304,0.04945054945054945,2,1,-1,-1
Amsterdam,AD,1,46308006,0.03021978021978022,2,1,-1,-1
Amsterdam,AD,1,46328500,0.14835164835164835,1,2,-1,-1
Amsterdam,AD,1,2311089467,0.38186813186813184,3,3,-1,-1
Amsterdam,AD,1,46365716,0.21153846153846154,1,3,-1,-1
Amsterdam,AD,1,1624052875,0.08516483516483517,3,4,-1,-1
Amsterdam,AD,1,46410072,0.08516483516483517,2,3,-1,-1
Amsterdam,AD,1,5911917067,0.016483516483516484,1,1,-1,-1
Amsterdam,AD,1,46450028,0.04120879120879121,2,2,-1,-1
Amsterdam,AD,1,7944358639,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46173882,0.0027472527472527475,2,1,-1,-1
Amsterdam,AD,1,46187268,0.08791208791208792,1,1,-1,-1
Amsterdam,AD,1,46203773,0.03571428571428571,2,3,-1,-1
Amsterdam,AD,1,7093136772,0.09065934065934066,1,1,-1,-1
Amsterdam,AD,1,3898433611,0.038461538461538464,2,1,-1,-1
Amsterdam,AD,1,46270689,0.03296703296703297,3,3,-1,-1
Amsterdam,AD,1,46287877,0.01098901098901099,3,3,-1,-1
Amsterdam,AD,1,46307544,0.08791208791208792,4,4,-1,-1
Amsterdam,AD,1,46322718,0.019230769230769232,2,2,-1,-1
Amsterdam,AD,1,46346468,0.07142857142857142,2,2,-1,-1
Amsterdam,AD,1,7042586056,0.5741758241758241,2,2,-1,-1
Amsterdam,AD,1,2296170442,0.12637362637362637,2,1,-1,-1
Amsterdam,AD,1,1891957960,0.11813186813186813,1,1,-1,-1
Amsterdam,AD,1,4625767495,0.08241758241758242,3,3,-1,-1
Amsterdam,AD,1,3306416557,0.10989010989010989,1,1,-1,-1
Amsterdam,AD,1,46472779,0.005494505494505495,1,2,-1,-1
Amsterdam,AD,1,7926245407,0.01098901098901099,2,2,-1,-1
Amsterdam,AD,1,7920375542,0.008241758241758242,2,2,-1,-1
Amsterdam,AD,1,8011011931,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46555663,0.005494505494505495,2,2,-1,-1
Amsterdam,AD,1,2304048772,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,46185495,0.024725274725274724,1,1,-1,-1
Amsterdam,AD,1,46202403,0.260989010989011,1,2,-1,-1
Amsterdam,AD,1,8792828688,0.046703296703296704,1,1,-1,-1
Amsterdam,AD,1,46246148,0.04945054945054945,2,3,-1,-1
Amsterdam,AD,1,1350096134,0.016483516483516484,1,1,-1,-1
Amsterdam,AD,1,1976839543,0.17857142857142858,2,2,-1,-1
Amsterdam,AD,1,46305900,0.04395604395604396,4,4,-1,-1
Amsterdam,AD,1,6933008649,0.2664835164835165,3,3,-1,-1
Amsterdam,AD,1,46346389,0.21703296703296704,2,2,-1,-1
Amsterdam,AD,1,4628978320,0.15384615384615385,1,1,-1,-1
Amsterdam,AD,1,46386984,0.23351648351648352,1,3,-1,-1
Amsterdam,AD,1,26585460,0.21153846153846154,2,1,-1,-1
Amsterdam,AD,1,46430099,0.11813186813186813,1,2,-1,-1
Amsterdam,AD,1,46451017,0.07967032967032966,2,2,-1,-1
Amsterdam,AD,1,46470161,0.0989010989010989,1,1,-1,-1
Amsterdam,AD,1,5705913800,0.027472527472527472,1,1,-1,-1
Amsterdam,AD,1,7916552429,0.008241758241758242,1,1,-1,-1
Amsterdam,AD,1,1724068248,0.01098901098901099,3,3,-1,-1
Amsterdam,AD,1,46173228,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,46186730,0.03571428571428571,1,1,-1,-1
Amsterdam,AD,1,46203826,0.008241758241758242,2,2,-1,-1
Amsterdam,AD,1,401352873,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,295085734,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,10894631392,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,617025696,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,46307158,0.22527472527472528,1,3,-1,-1
Amsterdam,AD,1,8745641794,0.06043956043956044,1,1,-1,-1
Amsterdam,AD,1,1042870353,0.6071428571428571,1,1,-1,-1
Amsterdam,AD,1,46363900,0.5192307692307693,2,2,-1,-1
Amsterdam,AD,1,46389674,0.6923076923076923,2,3,-1,-1
Amsterdam,AD,1,46405080,0.48626373626373626,2,3,-1,-1
Amsterdam,AD,1,46428787,0.510989010989011,2,3,-1,-1
Amsterdam,AD,1,46448859,0.2802197802197802,3,3,-1,-1
Amsterdam,AD,1,46467741,0.024725274725274724,2,1,-1,-1
Amsterdam,AD,1,7904736930,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,12713011080,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,46527401,0.01098901098901099,3,3,-1,-1
Amsterdam,AD,1,46542758,0.03296703296703297,4,4,-1,-1
Amsterdam,AD,1,46553708,0.008241758241758242,2,3,-1,-1
Amsterdam,AD,1,6249848704,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,2016695185,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,885659107,0.01098901098901099,1,2,-1,-1
Amsterdam,AD,1,46248097,0.03021978021978022,2,1,-1,-1
Amsterdam,AD,1,46268858,0.20054945054945056,3,2,-1,-1
Amsterdam,AD,1,12987508333,0.1043956043956044,1,1,-1,-1
Amsterdam,AD,1,5805453834,0.7252747252747253,1,2,-1,-1
Amsterdam,AD,1,46325757,0.3626373626373626,3,3,-1,-1
Amsterdam,AD,1,3416675263,0.23351648351648352,2,2,-1,-1
Amsterdam,AD,1,8036446607,0.8296703296703297,1,2,-1,-1
Amsterdam,AD,1,46383015,0.8763736263736264,0,1,-1,-1
Amsterdam,AD,1,3175895405,1.0,1,1,-1,-1
Amsterdam,AD,1,46427763,0.35714285714285715,2,2,-1,-1
Amsterdam,AD,1,2102754850,0.019230769230769232,1,3,-1,-1
Amsterdam,AD,1,7800918439,0.013736263736263736,2,3,-1,-1
Amsterdam,AD,1,1499334820,0.019230769230769232,1,1,-1,-1
Amsterdam,AD,1,46513195,0.04395604395604396,3,3,-1,-1
Amsterdam,AD,1,46544791,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,46555017,0.03296703296703297,3,3,-1,-1
Amsterdam,AD,1,10303268574,0.008241758241758242,1,1,-1,-1
Amsterdam,AD,1,4541539713,0.005494505494505495,1,1,-1,-1
Amsterdam,AD,1,12212407120,0.0027472527472527475,1,3,-1,-1
Amsterdam,AD,1,11559496557,0.008241758241758242,3,3,-1,-1
