expH,rpe_prime,Li_div,Deng_pm,config,city,d,kappa,D
1.0123019184018287,1.0033075470357102,0.9713077335177139,15.0,multi,Amsterdam,46366150,2,2
1.0,1.0,0.9748308801074123,15.0,single,Amsterdam,1587421936,2,2
1.0,1.0,0.9761850987237062,15.0,multi,Amsterdam,1587421936,2,2
1.0,1.0,0.9830785793306612,15.0,single,Amsterdam,46434295,2,2
1.0,1.0,0.9852648372666264,15.0,multi,Amsterdam,46434295,3,3
1.0,1.0,0.962049673886041,15.0,single,Amsterdam,46471597,2,2
1.0,1.0,0.9620024770212473,15.0,multi,Amsterdam,46471597,2,2
1.0000000047049824,1.000000000271886,0.9333241003498253,15.0,single,Amsterdam,46489067,1,1
1.0000000047049824,1.000000000277928,0.9418158905529175,15.0,multi,Amsterdam,46489067,1,1
1.0,1.0,0.8998750458666054,15.0,single,Amsterdam,8116544761,2,2
1.0,1.0,0.9034502046147446,15.0,multi,Amsterdam,8116544761,2,2
1.0027816265767477,1.0002893817989291,0.9344751175511464,15.0,single,Amsterdam,1575311685,2,2
1.0006345363410944,1.0000684105568243,0.9425805340461418,15.0,multi,Amsterdam,1575311685,2,2
2.012399736313121,1.000557168851744,0.9241018098072173,15.0,single,Amsterdam,4053664514,2,2
2.0,1.0,0.9237800883135621,15.0,multi,Amsterdam,4053664514,3,3
1.0008479110281185,1.0001305922466759,0.9684775496466314,15.0,single,Amsterdam,46311221,2,2
1.0007999490722974,1.0001297055473604,0.9753363649155778,15.0,multi,Amsterdam,46311221,4,4
1.0000000000000002,1.0,0.9496960564996659,15.0,single,Amsterdam,330033173,1,1
1.0,1.0,0.9606863713075678,15.0,multi,Amsterdam,330033173,2,2
1.6725519556162258,1.4973308503411475,0.9833328213476364,15.0,single,Amsterdam,2012191567,3,3
1.5623168019453513,1.377689596915058,0.9864276141204791,15.0,multi,Amsterdam,2012191567,4,4
1.0,1.0,0.9485732565464896,15.0,single,Amsterdam,46366674,1,1
1.000000000000001,1.0,0.9602342770014297,15.0,multi,Amsterdam,46366674,3,3
1.0000000000000007,1.0,0.9351200773157208,15.0,single,Amsterdam,8340035244,1,1
1.0000000000000007,1.0,0.9453934144333066,15.0,multi,Amsterdam,8340035244,1,1
1.0,1.0,0.9863780333750926,15.0,single,Amsterdam,46410025,3,3
1.0,1.0,0.9850644607905547,15.0,multi,Amsterdam,46410025,5,5
1.0,1.0,0.9750006311347638,15.0,single,Amsterdam,46432455,2,2
1.0,1.0,0.9813177207135165,15.0,multi,Amsterdam,46432455,3,3
1.0,1.0,0.9789335155687015,15.0,single,Amsterdam,6459263732,3,3
1.0,1.0,0.9806685475653095,15.0,multi,Amsterdam,6459263732,4,4
1.0,1.0,0.9781753857178124,15.0,single,Amsterdam,2028093778,2,2
1.0,1.0,0.9774270270909986,15.0,multi,Amsterdam,2028093778,3,3
1.0,1.0,0.9598040294383824,15.0,single,Amsterdam,1032858490,2,2
1.0,1.0,0.9577671935357474,15.0,multi,Amsterdam,1032858490,2,2
1.0000616391675943,1.0000085297373549,0.9501987107163229,15.0,single,Amsterdam,8177207459,1,1
1.0000616389662682,1.0000087666621131,0.9609092094107401,15.0,multi,Amsterdam,8177207459,3,3
1.0000031075907134,1.0000003386169611,0.936723771472737,15.0,single,Amsterdam,8163946870,1,1
1.000003041338118,1.0000003464399192,0.9450429463654247,15.0,multi,Amsterdam,8163946870,1,1
2.0,1.0,0.9086355233869051,15.0,single,Amsterdam,10693951339,1,1
1.7041090630973306,1.0255389992190473,0.9254268737464914,15.0,multi,Amsterdam,10693951339,1,1
1.000000003685544,1.0000000002773428,0.9410522874715403,15.0,single,Amsterdam,303203391,1,1
1.440957040345641,1.0133924509697707,0.9636404979882041,15.0,multi,Amsterdam,303203391,2,2
5.000000000000001,0.9999999999999996,0.8768632985432304,15.0,single,Amsterdam,46291715,3,3
4.000174632782063,1.0000035931324913,0.9057956996660331,15.0,multi,Amsterdam,46291715,3,3
1.0,1.0,0.9555034703771947,15.0,single,Amsterdam,46314364,3,3
1.0000000000000575,1.000000000000004,0.9705887187554172,15.0,multi,Amsterdam,46314364,4,4
1.0000000004027265,1.00000000002917,0.974777616100683,15.0,single,Amsterdam,46329410,3,3
1.0000000004027265,1.00000000002917,0.9812220484752121,15.0,multi,Amsterdam,46329410,3,3
1.0,1.0,0.9456617360017405,15.0,single,Amsterdam,46348398,1,1
1.0,1.0,0.9596233324634874,15.0,multi,Amsterdam,46348398,2,2
1.000210132252543,1.0000344305680384,0.9578102505556466,15.0,single,Amsterdam,46367399,2,2
2.1080809142382075,1.0175903944728786,0.9785365173070922,15.0,multi,Amsterdam,46367399,5,5
2.108080914239549,1.0125017359188409,0.959111793005466,15.0,single,Amsterdam,46390320,2,2
1.3076125692311102,1.0481931698052063,0.9742952347291282,15.0,multi,Amsterdam,46390320,4,4
1.000000000000138,1.0000000000000098,0.9708986050887132,15.0,single,Amsterdam,46410375,2,2
1.0,1.0,0.9779477050067288,15.0,multi,Amsterdam,46410375,2,2
1.0000867169763632,1.0000123360180164,0.9429774787614511,15.0,single,Amsterdam,11431874081,1,1
1.0000867169763632,1.0000125930216284,0.9523436256882609,15.0,multi,Amsterdam,11431874081,1,1
1.0,1.0,0.9546288028655024,15.0,single,Amsterdam,46473657,1,1
1.0,1.0,0.9634572738984839,15.0,multi,Amsterdam,46473657,1,1
1.0,1.0,0.9545007052856592,15.0,single,Amsterdam,3037038658,1,1
1.0,1.0,0.9819490403788389,15.0,multi,Amsterdam,3037038658,4,4
2.1584526917650844,1.499440420420659,0.9521005502341864,15.0,single,Amsterdam,8307365174,1,1
1.6203123093055014,1.1910406764602224,0.96203185644383,15.0,multi,Amsterdam,8307365174,4,4
1.0,1.0,0.9329732435772994,15.0,single,Amsterdam,46514542,2,2
1.0,1.0,0.9339553389723757,15.0,multi,Amsterdam,46514542,2,2
1.0000000004759697,1.0000000000357,0.9438139126875912,15.0,single,Amsterdam,922662498,1,1
1.0000000000000004,1.0,0.9515417640016063,15.0,multi,Amsterdam,922662498,2,2
1.0000000000875346,1.0000000000060314,0.934011994072976,15.0,single,Amsterdam,10585373288,1,1
1.0000000000875346,1.000000000006141,0.9420507818035593,15.0,multi,Amsterdam,10585373288,1,1
1.0,1.0,0.9073796736049473,15.0,single,Amsterdam,46249143,1,1
1.0,1.0,0.9213474883026291,15.0,multi,Amsterdam,46249143,1,1
1.0000000018327309,1.0000000001378244,0.9446685681933243,15.0,single,Amsterdam,46268854,2,2
1.000000000918084,1.0000000000690252,0.9447559841937244,15.0,multi,Amsterdam,46268854,2,2
1.0000000000083085,1.0000000000004368,0.9171653895955582,15.0,single,Amsterdam,46289604,1,1
1.000000000000101,1.000000000000007,0.9351711272314532,15.0,multi,Amsterdam,46289604,2,2
1.000000000044407,1.0000000000029008,0.9403290976583989,15.0,single,Amsterdam,46310386,2,2
1.000000045694751,1.0000000039406902,0.9507615190477304,15.0,multi,Amsterdam,46310386,3,3
