expH,rpe_prime,Li_div,Deng_pm,city,d,kappa
1.0000000000038531,1.0000000000002132,0.8478399245093127,15.0,Amsterdam,4541539713,1
1.0,1.0,0.9265584532406957,15.0,Amsterdam,12212407120,1
1.0005219106093162,1.0000502418593997,0.9704321893984872,15.0,Amsterdam,11559496557,3
1.0,1.0,0.9820245499830121,15.0,Amsterdam,46268594,4
1.0000001702142047,1.0000000026106897,0.9501354181149989,15.0,Amsterdam,46285788,2
2.988561370990264,1.1272646672669684,0.9003230395973831,15.0,Amsterdam,46306163,1
1.0000000629847994,1.0000000059046918,0.9685381661432899,15.0,Amsterdam,295693437,4
2.0,1.0,0.9661062204979645,15.0,Amsterdam,46345823,3
1.0000000000254232,1.000000000000888,0.9653266945227007,15.0,Amsterdam,3188225066,2
1.0000000000007898,1.0000000000000524,0.9325404210813489,15.0,Amsterdam,442122363,1
1.0000000000000002,1.0,0.9478098687168061,15.0,Amsterdam,46404672,1
1.0,1.0,0.9624081266851633,15.0,Amsterdam,814763666,2
1.0,1.0,0.9452549032482112,15.0,Amsterdam,6796780752,1
1.0,1.0,0.9622841730824199,15.0,Amsterdam,8542668458,1
1.0,1.0,0.9706629770850895,15.0,Amsterdam,6066265670,2
1.0,1.0,0.9608833211844648,15.0,Amsterdam,46499694,1
1.0,1.0,0.9624846030298603,15.0,Amsterdam,6867794194,1
1.0,1.0,0.9743629011424072,15.0,Amsterdam,810541337,2
1.0,1.0,0.9493479557140871,15.0,Amsterdam,4847860136,1
1.0000025537682977,1.0000003059697629,0.9738050616424215,15.0,Amsterdam,456854630,2
1.0,1.0,0.9820589780139349,15.0,Amsterdam,46265190,4
1.0,1.0,0.9281831837756301,15.0,Amsterdam,460441709,1
1.0013034411564787,1.000214458385656,0.9300366018570063,15.0,Amsterdam,12922375582,1
1.0000019330844379,1.0000001517128643,0.9047896887273496,15.0,Amsterdam,46326107,1
1.000000000000001,1.0,0.971639143474874,15.0,Amsterdam,46345386,2
1.0000000152584376,1.0000000013104318,0.9545352111206513,15.0,Amsterdam,46361614,1
1.0,1.0,0.9648289202611502,15.0,Amsterdam,46385113,2
1.0,1.0,0.9396714324969555,15.0,Amsterdam,292241354,2
1.0,1.0,0.9283721203703007,15.0,Amsterdam,46431917,1
1.0,1.0,0.9388987060071267,15.0,Amsterdam,794301414,1
1.0,1.0,0.9476070299688056,15.0,Amsterdam,46467229,1
1.0,1.0,0.9684548259418997,15.0,Amsterdam,11962862993,2
1.0,1.0,0.9662695250202658,15.0,Amsterdam,12549240144,1
1.0,1.0,0.9608507484964991,15.0,Amsterdam,7552907634,2
1.0,1.0,0.9646928495410979,15.0,Amsterdam,3167200102,2
1.0,1.0,0.9334643226001433,15.0,Amsterdam,2767260184,1
1.0,1.0,0.9766911550679697,15.0,Amsterdam,46563813,3
1.0000000000038531,1.000000000000228,0.9203769130906572,15.0,Amsterdam,2053253428,2
1.0000000000093676,1.0000000000006415,0.9736990083509074,15.0,Amsterdam,636093337,2
1.0060083419868302,1.0011880327585925,0.8773028190895406,15.0,Amsterdam,8441540293,1
2.0000000054823963,1.0000000002208955,0.9571690737793331,15.0,Amsterdam,46304170,3
1.0,1.0,0.9223592173127361,15.0,Amsterdam,46325205,1
1.0000000163076725,1.000000001375137,0.9379033041455557,15.0,Amsterdam,365875639,1
1.90124193215493,1.6376803537958264,0.8686391580731879,15.0,Amsterdam,5896507775,1
1.0,1.0,0.9721335892908245,15.0,Amsterdam,46384590,2
1.0,1.0,0.9196156808312977,15.0,Amsterdam,46405687,1
1.0,1.0,0.9587112789022358,15.0,Amsterdam,46432836,1
1.0,1.0,0.9701993338555066,15.0,Amsterdam,46446857,1
1.0,1.0,0.9815695502332628,15.0,Amsterdam,46468710,3
1.0,1.0,0.9699038908296198,15.0,Amsterdam,46485066,1
1.0,1.0,0.9794566147654922,15.0,Amsterdam,46498380,4
1.0,1.0,0.9590781173839131,15.0,Amsterdam,46526413,1
1.0,1.0,0.9062608248263903,15.0,Amsterdam,46210174,2
1.0002080544718168,1.0000347906921476,0.9173001198711449,15.0,Amsterdam,2882580890,2
1.000000000000001,1.0,0.9223399663979867,15.0,Amsterdam,46244938,1
1.0000000001230909,1.000000000008496,0.9018682471827453,15.0,Amsterdam,46266650,1
1.0000000000006537,1.0000000000000422,0.9344148240656016,15.0,Amsterdam,12072406522,1
1.0,1.0,0.9591428729513609,15.0,Amsterdam,46304102,2
1.0001828598031413,1.0000240602274837,0.933980344213502,15.0,Amsterdam,46325460,2
1.0058455466176688,1.0005490370131538,0.8678255192948158,15.0,Amsterdam,4743959148,1
1.0,1.0,0.9520652908131544,15.0,Amsterdam,11224390095,1
1.0,1.0,0.9115684901015628,15.0,Amsterdam,2262683375,1
1.0542101732694995,1.0184111963254197,0.9605415246975002,15.0,Amsterdam,46404755,2
1.5757724322076507,1.3706771583818225,0.9458873006194619,15.0,Amsterdam,46424348,2
1.0,1.0,0.9774532445083907,15.0,Amsterdam,46445293,3
1.0,1.0,0.9737527187080045,15.0,Amsterdam,46466887,3
1.0,1.0,0.9633596603576676,15.0,Amsterdam,46485162,2
1.000000000000001,1.0,0.8517855224123124,15.0,Amsterdam,262890788,1
1.000000000000001,1.0,0.8838915231403512,15.0,Amsterdam,11293422861,1
1.0024808393378402,1.0004531597809727,0.9195313318399514,15.0,Amsterdam,46264173,1
1.0000000000097053,1.0000000000006781,0.9777054345369077,15.0,Amsterdam,2801224787,2
1.000000000001959,1.0000000000000822,0.9648500089053014,15.0,Amsterdam,46303183,3
5.00000000015096,1.0000000000013967,0.7699453835995822,15.0,Amsterdam,2822146021,1
15.0,15.0,1.0,15.0,Amsterdam,2348249485,50
2.0,1.0,0.953067416386766,15.0,Amsterdam,46360124,1
1.0000000000000357,1.000000000000002,0.904983177549605,15.0,Amsterdam,1715273753,1
1.0,1.0,0.9579774773883003,15.0,Amsterdam,46404184,2
1.0,1.0,0.9395397249644808,15.0,Amsterdam,46420912,2
1.0,1.0,0.9586899716577579,15.0,Amsterdam,6904057007,1
1.0,1.0,0.9711587009879368,15.0,Amsterdam,46460895,3
1.0000000001435148,1.0000000000081397,0.9361703881717143,15.0,Amsterdam,6537188447,1
1.0000000000015556,1.000000000000104,0.9350452562396127,15.0,Amsterdam,10555373720,1
1.8837414338545415,1.7461394095457037,0.974684534464434,15.0,Amsterdam,46535755,2
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
1.000000000000001,1.0,0.808860301473422,15.0,Amsterdam,12655469626,1
1.0024808393378404,1.0003916903193766,0.847318641892891,15.0,Amsterdam,12022263753,1
1.0000922587957428,1.0000140533953625,0.9617943285304178,15.0,Amsterdam,46283936,1
1.000000000435906,1.0000000000277232,0.9763777964328113,15.0,Amsterdam,46302228,3
2.0,1.0,0.964988014058339,15.0,Amsterdam,46322722,2
1.0000000000002898,1.0000000000000195,0.9771903111744147,15.0,Amsterdam,2013949658,3
1.0,1.0,0.984876641637304,15.0,Amsterdam,46361012,3
1.0,1.0,0.9594413731171688,15.0,Amsterdam,46381772,1
1.0,1.0,0.9427128409667603,15.0,Amsterdam,6949019795,2
1.0,1.0,0.939427007508975,15.0,Amsterdam,46415865,2
1.0,1.0,0.9537297698333898,15.0,Amsterdam,46512176,1
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
1.0000000000000004,1.0,0.9512165427662258,15.0,Amsterdam,46245091,2
2.698781195883166,1.356456430036657,0.9452393136273147,15.0,Amsterdam,46262650,2
2.919672655449758,1.5307328059428578,0.9365758243953419,15.0,Amsterdam,46283554,1
1.0001803864853374,1.0000297769611577,0.9750110364922492,15.0,Amsterdam,46301596,3
1.0,1.0,0.9442953630588465,15.0,Amsterdam,9994804154,1
1.0,1.0,0.9793989851201816,15.0,Amsterdam,46342860,3
1.0000000000299547,1.000000000002096,0.9758254006143061,15.0,Amsterdam,46361036,3
1.0,1.0,0.9314844769108247,15.0,Amsterdam,46383470,1
1.0,1.0,0.9239003289830932,15.0,Amsterdam,12631632169,1
1.0,1.0,0.9748046392018241,15.0,Amsterdam,4333085459,2
1.0,1.0,0.9825011820232562,15.0,Amsterdam,46483761,3
1.0,1.0,0.9447499606061892,15.0,Amsterdam,46511089,1
1.4635205251733105,1.2591573788480168,0.9547769846350795,15.0,Amsterdam,8942712546,2
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
15.0,15.0,1.0,15.0,Amsterdam,46183572,50
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
7.999999999999998,1.0,0.6889275569751896,15.0,Amsterdam,1525015190,1
