city,d,kappa,L1,h1,Bstar2,Bstar3,colocated,reachable
New York City,5515778110,4,18.153861238827243,-1,78.02877960072595,94.43267097707151,False,True
New York City,42816972,4,65.54000778953385,-1,80.21698397978913,113.84512232086375,False,True
New York City,42917407,4,121.0889417460108,-1,148.5935725771139,150.87486623027215,False,True
New York City,5155611729,3,121.37408564905539,-1,173.82206621335422,212.68531691128078,False,True
New York City,42925522,6,173.5386268226167,-1,219.30893390748736,269.4644564074178,False,True
New York City,42878128,7,204.9621947858883,-1,217.28585031384205,234.1287545167956,False,True
New York City,42873726,5,187.32001290466198,-1,216.30764864172272,250.22278517784014,False,True
New York City,274302634,5,200.07801063243818,-1,200.53461401726165,224.49225783964647,False,True
New York City,42832923,4,143.6224386066742,-1,195.4629483992981,257.9941442249594,False,True
New York City,42894561,6,125.31809114986945,-1,214.09583116744483,234.29183703479487,False,True
New York City,6944173478,1,182.56474707534824,-1,inf,inf,False,True
New York City,42782175,1,86.82902125105562,-1,inf,inf,False,True
New York City,42731793,2,130.7757978702809,-1,504.0575196949753,inf,False,True
New York City,42762467,2,191.79249994412254,-1,492.3909492184228,inf,False,True
New York City,5490813255,3,11.54678390699157,-1,48.08199133666923,232.75103527714646,False,True
New York City,12777940480,1,420.40055283003556,-1,inf,inf,False,True
New York City,42837832,6,153.9115567226224,-1,206.3418872928698,252.07568118223412,False,True
New York City,42857509,7,211.74105343392864,-1,224.8273476476412,225.41890600151459,False,True
New York City,4553286690,3,173.95506773595415,-1,176.89215918939513,193.72270077895382,False,True
New York City,42788686,5,122.28236233693166,-1,159.1816120345915,165.89113796179265,False,True
New York City,42887917,5,85.59107028020101,-1,131.41968044468481,134.90880094936273,False,True
New York City,42890845,3,68.65365421324844,-1,71.83598685216822,99.75280031613053,False,True
New York City,42808002,4,20.858743846882795,-1,23.93037357783972,59.021610153840605,False,True
New York City,5914673875,3,71.36905585503862,-1,97.36096098424439,134.80582585603912,False,True
New York City,42861684,50,0.0,-1,,,True,True
New York City,42916999,4,107.10377376341853,-1,114.15374394332916,122.54271658034784,False,True
New York City,8601393182,3,116.8355821030248,-1,182.4029999072734,192.81116498781842,False,True
New York City,5840182189,4,106.85841276528103,-1,237.52965033824458,254.93517320789815,False,True
New York City,42843207,7,148.3528078582461,-1,182.7944754733429,229.38378748551,False,True
New York City,42893554,6,153.50507452007034,-1,170.91059738972393,204.74937950609257,False,True
New York City,42816700,5,131.7198403561878,-1,185.76677940993625,233.22079743023266,False,True
New York City,42824347,7,162.2668941377229,-1,168.3860187383719,172.1552020660784,False,True
New York City,42907062,5,121.1082165362365,-1,199.233129854512,214.65864359652784,False,True
New York City,5244355654,1,79.73422111052832,-1,inf,inf,False,True
New York City,42743386,1,48.439064458886115,-1,inf,inf,False,True
New York City,8653966168,1,31.746486152258186,-1,inf,inf,False,True
New York City,471387919,2,82.11659119578684,-1,588.8825148841509,inf,False,True
New York City,1701260214,2,61.26629990204301,-1,102.83447851553605,inf,False,True
New York City,1702839422,2,616.7656125054452,-1,1109.8352453578602,inf,False,True
New York City,4058789936,2,795.495846992362,-1,1143.283898100235,inf,False,True
New York City,11335286477,1,329.4333198918244,-1,inf,inf,False,True
New York City,5700531555,3,212.20527844557748,-1,222.13014588172064,247.7131777956561,False,True
New York City,42846558,4,233.10779537515361,-1,258.0163975737397,284.84170569719265,False,True
New York City,42841874,7,237.30862742922045,-1,270.29340495359406,270.4165414281085,False,True
New York City,42833651,3,191.67542116222356,-1,217.29018754130385,240.18670093768978,False,True
New York City,4882638466,3,159.40891258129602,-1,189.1786990646448,208.72664325045773,False,True
New York City,42835211,5,69.95123477313471,-1,113.47143446128379,128.77572407439794,False,True
New York City,42863066,5,54.99674597795823,-1,55.603307985636086,87.19036652194151,False,True
New York City,42820676,3,77.27972251849825,-1,120.30117420842686,129.5464066498296,False,True
New York City,42841300,4,61.57598992023639,-1,109.24297386152529,125.01587374500178,False,True
New York City,5921270054,4,102.31891607563291,-1,131.0944870788758,145.46757780947752,False,True
New York City,10560500070,3,178.45323970154084,-1,185.19616977084888,229.81017985075906,False,True
New York City,42815630,5,41.91784482123263,-1,183.73137929879647,226.68948571998968,False,True
New York City,8484726411,5,157.88135382943221,-1,158.35987292812254,175.2868766990858,False,True
New York City,13018867035,6,107.63012707375587,-1,158.8744320597781,220.2451440963415,False,True
New York City,42833096,8,21.527458522102553,-1,60.043467368616234,179.6589735879534,False,True
New York City,1397764134,3,41.50077875498127,-1,120.39549392714659,239.05750632350237,False,True
New York City,11685025845,2,762.5727530785384,-1,986.0841539025658,inf,False,True
New York City,5969626068,1,936.3249740026579,-1,inf,inf,False,True
New York City,7870075190,3,97.36337294165892,-1,230.22320545584674,310.20839923189106,False,True
New York City,1942055202,3,205.48541810021237,-1,228.7027634925135,265.97800343411745,False,True
New York City,7998432012,3,252.7628504888027,-1,264.8143932953563,277.4712260897174,False,True
New York City,5511403888,1,239.06955589092433,-1,inf,inf,False,True
New York City,5914673660,3,223.3238405504431,-1,243.53781461252947,267.656927175764,False,True
New York City,3531141530,4,219.37186988488338,-1,243.24448099518136,265.04876992997674,False,True
New York City,42890311,3,152.19297936431803,-1,208.33457284493647,225.81844324946735,False,True
New York City,42835248,4,117.87068886644984,-1,168.6574813107439,175.80435924686523,False,True
New York City,42822694,3,92.91229538164444,-1,108.38399488470635,111.1767239193309,False,True
New York City,42860840,4,95.24671169373882,-1,108.42103129273471,123.39378823691567,False,True
New York City,12170251901,2,153.2310338232633,-1,206.66926116542692,inf,False,True
New York City,42889215,4,48.19311796106807,-1,73.38035346173827,102.99219274370851,False,True
New York City,7761426963,4,59.97483978358232,-1,77.38036265323592,171.13607207257616,False,True
New York City,42850165,5,29.706250732650012,-1,63.10215541131335,190.47528006224513,False,True
New York City,42913788,8,67.03659328899435,-1,119.21501256644655,122.64855755660534,False,True
New York City,7872449309,3,46.016361992919045,-1,280.6189499903919,297.065630095727,False,True
New York City,11332492090,3,116.01326563096265,-1,253.74212228494585,266.91484063766836,False,True
New York City,5487948515,5,150.2857428814818,-1,252.82332121706753,259.4329665793155,False,True
New York City,42833689,6,218.62319118145268,-1,230.16258564392433,246.59385641690992,False,True
New York City,5314129843,4,188.4486402895326,-1,208.47421222953912,263.09295311542223,False,True
New York City,7678847946,2,159.6801754149539,-1,198.1989940672491,inf,False,True
